symbol,timestamp,open,high,low,close,volume,trade_count,vwap,Lowest_5D,High_5D,Lowest_15D,High_15D,Stochastic_5,Stochastic_15,Stochastic_%D_5,Stochastic_%D_15,Stochastic_Ratio,TP,sma,mad,CCI,prev_close,Actual Returns,TR,ATR_12,ATR_26,ATR_Ratio
AMC,2021-03-12 05:00:00+00:00,10.17,11.4,9.94,11.16,111148696,562664,10.956461,,,,,,,,,,10.833333333333334,,,,,,,,,
AMC,2021-03-15 04:00:00+00:00,12.19,14.49,11.85,14.04,278973468,1462810,13.59001,,,,,,,,,,13.459999999999999,,,,11.16,0.25806451612903225,3.33,,,
AMC,2021-03-16 04:00:00+00:00,13.51,13.62,12.34,13.02,126092812,698578,12.978794,,,,,,,,,,12.993333333333334,,,,14.04,-0.07264957264957261,1.6999999999999993,,,
AMC,2021-03-17 04:00:00+00:00,13.21,13.66,13.0,13.56,78053640,400553,13.361525,,,,,,,,,,13.406666666666666,,,,13.02,0.04147465437788034,0.6600000000000001,,,
AMC,2021-03-18 04:00:00+00:00,14.35,14.54,13.57,14.0,122214226,642882,14.172692,,,,,,,,,,14.036666666666667,,,,13.56,0.032448377581120846,0.9799999999999986,,,
AMC,2021-03-19 04:00:00+00:00,14.15,14.18,13.28,13.93,153206613,532649,13.92114,,,,,,,,,,13.796666666666667,,,,14.0,-0.0050000000000000044,0.9000000000000004,,,
AMC,2021-03-22 04:00:00+00:00,13.07,13.19,11.76,12.49,88760189,522008,12.335774,,,,,,,,,,12.479999999999999,,,,13.93,-0.10337401292175163,2.17,,,
AMC,2021-03-23 04:00:00+00:00,11.5,11.93,10.37,10.66,87923636,462557,11.006674,,,,,,,,,,10.986666666666665,,,,12.49,-0.14651721377101679,2.120000000000001,,,
AMC,2021-03-24 04:00:00+00:00,10.83,11.21,8.93,9.02,81850717,480532,9.971406,,,,,,,,,,9.72,,,,10.66,-0.15384615384615385,2.280000000000001,,,
AMC,2021-03-25 04:00:00+00:00,8.96,11.315,8.95,10.94,131192830,573450,10.444871,,,,,,,,,,10.401666666666666,,,,9.02,0.21286031042128606,2.365,,,
AMC,2021-03-26 04:00:00+00:00,11.24,11.53,10.01,10.24,84633186,414720,10.741298,,,,,,,,,,10.593333333333334,,,,10.94,-0.0639853747714807,1.5199999999999996,,,
AMC,2021-03-29 04:00:00+00:00,10.28,10.76,10.09,10.35,37330706,228967,10.410473,8.93,14.54,,,25.311942959001783,,,,,10.4,,,,10.24,0.0107421875,0.6699999999999999,,,
AMC,2021-03-30 04:00:00+00:00,10.37,10.52,9.76,10.35,39020493,244198,10.122287,8.93,14.54,,,25.311942959001783,,,,,10.21,,,,10.35,0.0,0.7599999999999998,1.6212499999999999,,
AMC,2021-03-31 04:00:00+00:00,10.35,10.47,10.05,10.21,29832327,174550,10.203156,8.93,14.54,,,22.816399286987547,,,,,10.243333333333334,,,,10.35,-0.013526570048309039,0.41999999999999993,1.3787500000000001,,
AMC,2021-04-01 04:00:00+00:00,10.23,10.26,9.15,9.36,77462387,458937,9.649676,8.93,14.54,,,7.6648841354723665,,,,,9.59,,,,10.21,-0.08325171400587672,1.1099999999999994,1.3295833333333333,,
AMC,2021-04-05 04:00:00+00:00,10.1,11.25,9.72,10.61,96080322,430466,10.535846,8.93,14.54,,,29.946524064171122,,22.21033868092692,,,10.526666666666666,,,,9.36,0.13354700854700852,1.8900000000000006,1.4320833333333336,,
AMC,2021-04-06 04:00:00+00:00,10.4,10.5,10.0,10.2,44066276,235835,10.228249,8.93,14.18,,,24.190476190476183,,21.9860453272218,,,10.233333333333333,,,,10.61,-0.03864278982092362,0.6099999999999994,1.4012500000000003,,
AMC,2021-04-07 04:00:00+00:00,10.07,10.18,9.85,9.85,28777181,182578,9.983506,8.93,13.19,,,21.596244131455396,,21.242905561712526,,,9.96,,,,10.2,-0.03431372549019607,0.34999999999999964,1.3554166666666667,,
AMC,2021-04-08 04:00:00+00:00,9.97,10.01,9.5,9.79,33400185,216348,9.689592,8.93,11.93,,,28.666666666666647,,22.412959037648342,,,9.766666666666666,,,,9.85,-0.006091370558375719,0.5099999999999998,1.2170833333333333,,
AMC,2021-04-09 04:00:00+00:00,9.59,9.74,9.24,9.42,29222626,220676,9.46644,8.93,11.53,,,18.846153846153857,,24.649212979784643,,,9.466666666666667,,,,9.79,-0.037793667007150034,0.5499999999999989,1.08625,,
AMC,2021-04-12 04:00:00+00:00,9.43,9.49,8.51,8.62,50915577,362426,8.836926,8.51,11.53,,,3.6423841059602466,,19.388384988142466,,,8.873333333333333,,,,9.42,-0.08492569002123151,0.9800000000000004,0.9779166666666664,,
AMC,2021-04-13 04:00:00+00:00,8.63,9.12,8.3101,8.84,43322189,265150,8.76565,8.3101,11.53,,,16.457032827106424,,17.841696315468518,,,8.7567,,,,8.62,0.025522041763341052,0.809899999999999,0.8483249999999997,,
AMC,2021-04-14 04:00:00+00:00,8.98,9.81,8.9,9.35,51114151,286346,9.336504,8.3101,11.25,,,35.37195142691926,,20.596837774561287,,,9.353333333333333,,,,8.84,0.05769230769230771,0.9700000000000006,0.8024916666666665,,
AMC,2021-04-15 04:00:00+00:00,9.87,10.23,9.58,9.9,45112382,282073,9.843986,8.3101,11.25,,,54.08007075070581,,25.679518591369117,,,9.903333333333334,,,,9.35,0.05882352941176472,0.8800000000000008,0.8199916666666666,,
AMC,2021-04-16 04:00:00+00:00,10.03,10.03,9.09,9.33,39980269,316531,9.48534,8.3101,11.25,,,34.691656178781585,,28.848619057894666,,,9.483333333333333,,,,9.9,-0.05757575757575761,0.9399999999999995,0.8349916666666665,,
AMC,2021-04-19 04:00:00+00:00,9.49,9.81,9.38,9.66,32576238,233876,9.613081,8.3101,11.25,8.3101,14.54,45.9165277730535,21.668084559944784,37.30344779131332,26.30072382012757,1.4183430101176728,9.616666666666667,10.734296153846154,1.239920315581855,-60.0914684131681,9.33,0.03536977491961424,0.4800000000000004,0.8399916666666666,,
